id,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-656298,3,2020-01-24T20:15:20Z,2020-01-24T20:43:09Z,41.76035,-72.64471,41.75188,-72.65601,0.826,Between I-84/US-6 and I-91/Exit 86 (North) - Accident. Right lane blocked.,NA,Silver Ln,R,East Hartford,Hartford,CT,6108,US,US/Eastern,KHFD,2020-01-24 19:53,36,36,57,30.35,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-252144,2,2019-04-02T08:48:22Z,2019-04-02T12:48:22Z,44.09781,-123.144271,44.09781,-123.13971,0.226,At River Rd - Accident.,NA,Randy Pap� Beltline E,R,Eugene,Lane,OR,97404,US,US/Pacific,KEUG,2019-04-02 8:54,54,54,93,29.4,2,VAR,3,0.15,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1329959,4,2019-03-25T18:16:57Z,2019-03-25T18:45:55Z,38.189979,-104.206882,38.212936,-104.249616,2.811,Closed at CO-209 - Road closed due to accident.,60784,US Highway 50,L,Boone,Pueblo,CO,81025,US,US/Mountain,KPUB,2019-03-25 17:53,61,NA,34,30.13,10,East,16.1,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1695014,2,2020-03-17T08:29:00Z,2020-03-17T09:41:57Z,35.175566,-120.697201,35.175566,-120.697201,0,At Avila Beach Dr/Exit 195 - Accident.,NA,El Camino Real N,R,Pismo Beach,San Luis Obispo,CA,93449,US,US/Pacific,KSBP,2020-03-17 8:56,44,44,93,29.77,10,CALM,0,0,Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1282387,4,2016-08-11T12:31:49Z,2016-08-11T18:31:49Z,37.273944,-115.115688,37.325533,-115.135179,3.722,Closed between Las Vegas and NV-318/The Extraterrestrial Hwy - Road closed due to accident.,NA,US-93 N,R,Alamo,Lincoln,NV,89001,US,US/Pacific,KP38,2016-08-11 12:35,88,88,35,27.08,10,SW,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1563634,3,2017-12-17T22:52:58Z,2017-12-17T23:22:40Z,37.739594,-121.589516,37.739594,-121.589516,0,Accident on I-580 Eastbound at Exit 63 Grant Line Rd.,NA,I-580 E,R,Tracy,Alameda,CA,95377,US,US/Pacific,KLVK,2017-12-17 22:53,41,39,62,30.12,10,NE,3.5,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-888057,2,2018-03-15T14:26:29Z,2018-03-15T15:26:08Z,30.476563,-91.112686,30.476563,-91.112686,0,Accident on US-61 Airline Hwy at LA-37 Greenwell Springs Rd.,NA,Greenwell Springs Rd,R,Baton Rouge,East Baton Rouge,LA,70814,US,US/Central,KBTR,2018-03-15 14:53,70,NA,25,30.09,10,SSW,11.5,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-565733,2,2017-12-11T08:50:02Z,2017-12-11T09:34:48Z,38.539757,-121.803276,38.539757,-121.803276,0,Accident on County Hwy-E7 County Road 98 at Hutchison Dr.,27425,County Road 98,L,Davis,Yolo,CA,95616,US,US/Pacific,KEDU,2017-12-11 8:55,39.2,NA,87,30.36,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1748546,2,2020-02-12T14:19:06Z,2020-02-12T15:03:58Z,40.64954,-73.89946,40.64954,-73.89946,0,Accident on Farragut Rd at 103rd St.,10325,Farragut Rd,L,Brooklyn,Kings,NY,11236-2403,US,US/Eastern,KJFK,2020-02-12 13:51,45,39,40,30.19,10,SW,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-898200,3,2018-04-26T08:40:38Z,2018-04-26T09:10:20Z,35.150764,-89.881927,35.150764,-89.881927,0,Left lane blocked due to accident on I-240 Eastbound at Exits 12B 12C I-40.,NA,I-240 E,R,Memphis,Shelby,TN,38134,US,US/Central,KNQA,2018-04-26 8:50,53.6,NA,100,29.85,2,North,9.2,NA,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1988285,3,2020-11-10T16:27:31Z,2020-11-10T17:30:43Z,42.840019,-73.771645,42.840019,-73.771645,0,Right lane blocked due to accident on I-87 Southbound at Exit 8A CR-91 Grooms Rd.,NA,Grooms Rd,R,Clifton Park,Saratoga,NY,12065,US,US/Eastern,KSCH,2020-11-10 16:55,70,70,56,29.63,15,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2888570,2,2017-10-03T01:56:12Z,2017-10-03T02:27:00Z,39.838135,-105.006073,39.838135,-105.006073,0,Accident on Pecos St near Elmwood Ln.,7798,Pecos St,L,Denver,Adams,CO,80221-3456,US,US/Mountain,KBJC,2017-10-03 1:53,37.4,32.1,93,30.06,10,SSW,6.9,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-1664141,2,2016-08-04T16:24:33Z,2016-08-04T22:24:33Z,39.07185,-94.52364,39.07068,-94.51803,0.312,At Van Brunt Blvd/Exit 6 - Accident.,NA,US-40 W,R,Kansas City,Jackson,MO,64128,US,US/Central,KMKC,2016-08-04 15:54,100.9,NA,34,29.81,10,SSW,17.3,NA,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1986973,2,2020-06-29T18:16:08Z,2020-06-29T19:34:57Z,31.79941,-106.322769,31.79941,-106.322769,0,Accident on US-180 Montana Ave Eastbound at Lee Trevino Dr.,11003,Montana Ave,L,Fort Bliss,El Paso,TX,79916,US,US/Mountain,KELP,2020-06-29 17:47,93,93,16,25.95,10,WSW,18,NA,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-217625,3,2019-03-01T16:29:13Z,2019-03-01T16:58:31Z,42.233665,-88.815376,42.233665,-88.815376,0,Two lanes blocked due to accident on I-90 Jane Addams Tollway Eastbound at Exit 25 CR-4 Genoa Rd.,NA,I-90 E,R,Belvidere,Boone,IL,61008,US,US/Central,KRFD,2019-03-01 16:54,33.1,NA,52,30.17,10,Calm,NA,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1825486,2,2016-09-08T15:08:47Z,2016-09-08T21:08:47Z,33.89277,-118.36408,33.88874,-118.35845,0.426,At Inglewood Ave/Exit 42B - Accident.,NA,San Diego Fwy S,R,Redondo Beach,Los Angeles,CA,90278,US,US/Pacific,KHHR,2016-09-08 14:53,73,NA,66,30.03,10,WSW,15,NA,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1777247,3,2019-02-06T08:20:26Z,2019-02-06T08:49:58Z,38.803314,-90.739418,38.803314,-90.739418,0,Left lane blocked due to accident on I-70 Westbound after Exit 216 Bryan Rd.,NA,I-70 W,R,O Fallon,St. Charles,MO,63366,US,US/Central,KSUS,2019-02-06 8:21,35.1,31,96,29.96,2.5,NNE,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1206062,3,2017-11-10T08:54:22Z,2017-11-10T09:24:01Z,33.72221,-117.974762,NA,NA,0,Two lanes blocked due to accident on I-405 Southbound before Exit 15B Magnolia St.,NA,San Diego Fwy S,R,Huntington Beach,Orange,CA,92647,US,US/Pacific,KSLI,2017-11-10 8:58,65.1,NA,75,30.04,10,Calm,NA,NA,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2580121,2,2020-09-24T14:23:00Z,2020-09-24T16:08:00Z,33.65476,-86.829725,33.66494,-86.831455,0.71,Incident on I-65 NB near MM 271 Right shoulder closed.,NA,I-65 N,R,Gardendale,Jefferson,AL,35071,US,US/Central,KBHM,2020-09-24 14:53,71,71,87,29.13,7,E,14,0.01,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1274775,2,2016-10-08T18:47:13Z,2016-10-08T19:31:57Z,40.562218,-74.322678,40.562218,-74.322678,0,Accident on Garden State Pkwy Southbound at Exit 131 County Hwy-649 Wood Ave.,NA,Garden State Pkwy S,R,Iselin,Middlesex,NJ,8830,US,US/Eastern,KLDJ,2016-10-08 18:55,66.2,NA,91,30.01,7,Calm,NA,0.22,Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-970137,2,2018-03-29T05:33:18Z,2018-03-29T06:32:53Z,27.842667,-82.84021,27.842667,-82.84021,0,Accident on County Hwy-694 Park Blvd at FL-699 Gulf Blvd.,NA,Gulf Blvd,R,Indian Rocks Beach,Pinellas,FL,33785,US,US/Eastern,KPIE,2018-03-29 5:53,64.9,NA,84,30.05,10,SSE,8.1,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1523808,3,2018-09-10T07:37:59Z,2018-09-10T08:07:13Z,42.501896,-71.117287,42.501896,-71.117287,0,Accident on I-95 Northbound at 93.,NA,I-95 N,R,Reading,Middlesex,MA,1867,US,US/Eastern,KBVY,2018-09-10 7:53,60.1,NA,64,30.34,10,ENE,5.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2716292,2,2020-11-28T07:25:00Z,2020-11-28T08:41:57Z,41.551741,-73.050144,41.551411,-73.055444,0.275,Incident on I-84 WB near EXIT 20 Left lane blocked.,NA,I-84 W,R,Waterbury,New Haven,CT,6702,US,US/Eastern,KOXC,2020-11-28 7:51,43,43,100,29.18,10,CALM,0,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1141181,3,2020-02-11T16:57:22Z,2020-02-11T17:27:09Z,38.657742,-121.363472,NA,NA,0,Lane blocked due to accident on I-80 Eastbound at Exit 96 Madison Ave.,NA,I-80 E,R,Sacramento,Sacramento,CA,95841,US,US/Pacific,KMCC,2020-02-11 16:47,63,63,45,29.9,10,SSE,8,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-970035,2,2020-09-13T00:28:00Z,2020-09-13T02:21:21Z,33.764945,-117.865544,33.770755,-117.869074,0.45,Incident on I-5 NB near MAIN ST Drive with caution.,NA,I-5 N,R,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2020-09-13 0:53,66,66,84,29.81,4,S,3,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-226243,2,2018-08-10T12:21:32Z,2018-08-10T12:51:27Z,35.220226,-80.914757,35.220226,-80.914757,0,Accident on Morris Field Dr at Seymour Dr.,NA,Seymour Dr,R,Charlotte,Mecklenburg,NC,28208,US,US/Eastern,KCLT,2018-08-10 11:52,87.1,NA,53,29.98,10,North,3.5,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2246253,2,2017-04-19T18:18:42Z,2017-04-20T00:18:42Z,40.20094,-75.4809,40.20094,-75.4809,0,At 7th Ave - Accident.,699,W Main St,R,Collegeville,Montgomery,PA,19426,US,US/Eastern,KPTW,2017-04-19 17:54,55,NA,62,30.29,9,SSW,6.9,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1775922,2,2020-09-11T00:34:18Z,2020-09-11T03:06:45Z,39.446164,-77.391525,39.446844,-77.389785,0.104,MD 26 EAST AT N MARKET ST,8051,Liberty Rd,R,Frederick,Frederick,MD,21701,US,US/Eastern,KFDK,2020-09-11 0:35,72,72,94,29.8,1,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-341254,2,2020-10-21T16:01:38Z,2020-10-21T17:16:51Z,44.76859,-93.958306,44.771278,-93.951868,0.366,Incident on US-212 EB near CR-31 Drive with caution.,17199,County Road 31,R,Norwood Young America,Carver,MN,55368-9693,US,US/Central,KGYL,2020-10-21 15:55,33,33,79,29.12,7,WSW,3,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1607126,2,2020-11-23T12:50:30Z,2020-11-24T03:17:19Z,25.897225,-80.244818,25.897997,-80.24355,0.095,Slow traffic on FL-916 - FL-9 from NW 136th St to Opa Locka Blvd / NW 136th St due to accident.,2756,NW 135th St,L,Opa Locka,Miami-Dade,FL,33054,US,US/Eastern,KOPF,2020-11-23 12:53,76,76,76,30.01,10,NNW,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2279009,2,2017-08-23T16:40:17Z,2017-08-23T17:39:34Z,35.129623,-80.941719,35.129623,-80.941719,0,Accident on Westinghouse Blvd at NC-49 Tryon St.,NA,S Tryon St,R,Charlotte,Mecklenburg,NC,28273,US,US/Eastern,KCLT,2017-08-23 16:52,82.9,NA,77,29.85,10,Variable,4.6,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2835015,3,2017-12-12T06:33:28Z,2017-12-12T07:02:35Z,33.722115,-84.394592,33.722115,-84.394592,0,Lane blocked due to accident on I-75 Northbound at GA-54 University Ave.,NA,University Ave SW,R,Atlanta,Fulton,GA,30315,US,US/Eastern,KATL,2017-12-12 6:52,42.1,36.1,82,29.87,10,West,10.4,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-164817,2,2019-06-28T09:21:15Z,2019-06-28T10:50:56Z,26.663954,-80.715874,26.663954,-80.715874,0,Lane blocked due to accident on US-27 Eastbound at FL-80.,343,W Palm Beach Rd,L,South Bay,Palm Beach,FL,33493,US,US/Eastern,KPBI,2019-06-28 9:04,87,87,67,30.08,10,ESE,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-466597,2,2019-01-17T16:34:10Z,2019-01-17T17:03:40Z,30.640512,-88.089035,30.640512,-88.089035,0,Accident on AL-163 at I-10 Exits 22 .,NA,Dauphin Island Pkwy,R,Mobile,Mobile,AL,36605,US,US/Central,KBFM,2019-01-17 16:53,57,NA,93,30.17,10,SE,6.9,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1965175,3,2017-04-26T07:32:03Z,2017-04-26T13:32:03Z,33.74971,-118.01095,33.74699,-118.0077,0.265,At Goldenwest St/Exit 18 - Accident.,NA,San Diego Fwy S,R,Westminster,Orange,CA,92683,US,US/Pacific,KSLI,2017-04-26 7:58,61.5,NA,79,29.91,10,ESE,3.5,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-850364,2,2019-12-06T10:52:53Z,2019-12-06T12:07:38Z,39.26458,-121.597267,NA,NA,0,Lane blocked due to accident on CA-70 at Ramirez Rd.,10506,State Highway 70,L,Marysville,Yuba,CA,95901-9415,US,US/Pacific,KMYV,2019-12-06 10:53,63,63,60,29.99,10,SSE,9,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1913890,2,2019-04-25T07:03:52Z,2019-04-25T08:17:16Z,30.4356,-86.577873,30.4356,-86.577873,0,Lane blocked due to accident on Meigs Dr at Palm Dr.,NA,Meigs Dr,R,Shalimar,Okaloosa,FL,32579,US,US/Central,KVPS,2019-04-25 6:56,61,61,97,29.87,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1200520,3,2018-05-10T09:22:17Z,2018-05-10T15:22:17Z,38.849743,-75.812916,38.853388,-75.817816,0.365,At MD-16/Harmony Rd/Double Hills Rd - Accident.,25758,Shore Hwy,R,Denton,Caroline,MD,21629,US,US/Eastern,KRJD,2018-05-10 8:50,68,68,68,29.94,10,S,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1367172,2,2020-12-19T07:17:48Z,2020-12-19T09:31:52Z,36.88175,-76.214133,36.883108,-76.218494,0.259,Incident on I-64 near I-64 Drive with caution.,NA,I-64 E,R,Norfolk,Norfolk,VA,23502,US,US/Eastern,KORF,2020-12-19 6:59,34,28,67,30.42,10,NNW,7,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1311993,2,2020-03-05T09:06:52Z,2020-03-05T09:36:44Z,28.18351,-82.53961,28.16273,-82.53789,1.44,At SR-589-TOLL/Suncoast Pkwy - Accident. Left lane blocked.,NA,Suncoast Pkwy S,R,Odessa,Pasco,FL,33556,US,US/Eastern,KTPA,2020-03-05 8:53,74,74,91,30.01,9,S,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2646719,2,2020-10-24T17:15:00Z,2020-10-24T18:55:00Z,39.349004,-77.391182,39.379194,-77.407402,2.259,Slow traffic on I-270 from MD-80/Exit 26 (I-270) to MD-85/Exit 31 (I-270) due to accident.,NA,Dwight D Eisenhower Hwy N,R,Frederick,Frederick,MD,21704,US,US/Eastern,KFDK,2020-10-24 16:47,66,66,64,29.66,10,NNW,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
