"","id","source","tmc","severity","start_time","end_time","distance_mi","description","number","street","side","city","county","state","country","timezone","airport_code","weather_timestamp","temperature_f","wind_chill_f","humidity_percent","pressure_in","visibility_mi","wind_direction","wind_speed_mph","precipitation_in","weather_condition","amenity","bump","crossing","give_way","junction","no_exit","railway","roundabout","station","stop","traffic_calming","traffic_signal","turning_loop","sunrise_sunset","civil_twilight","nautical_twilight","astronomical_twilight"
"11","A-82348","MapQuest",201,2,2016-10-07 15:11:06,2016-10-07 15:55:54,0,"Accident on Hoover St near 127th St.",12699,"S Hoover St","R","Los Angeles","Los Angeles","CA","US","US/Pacific","KHHR",2016-10-07 14:53:00,86,NA,28,29.83,10,"WSW",9.2,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"12","A-1182725","MapQuest",201,2,2019-05-22 10:38:36,2019-05-22 12:25:16,0,"Accident on Oak Run at Oxhead Rd.",100,"Oak Run","R","Stony Brook","Suffolk","NY","US","US/Eastern","KISP",2019-05-22 10:56:00,66,66,34,30.11,10,"N",14,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"13","A-907639","MapQuest",201,2,2019-11-24 09:56:36,2019-11-24 11:59:10,0,"Accident on US-61 Northbound at MN-19.",NA,"Highway 19","R","Red Wing","Goodhue","MN","US","US/Central","KRGK",2019-11-24 09:55:00,37,37,75,28.8,10,"CALM",0,0,"Partly Cloudy",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"14","A-1227133","MapQuest",241,3,2019-04-11 08:28:18,2019-04-11 09:27:42,0,"Right lane blocked and right hand shoulder blocked due to accident on I-96 Eastbound at Exit 182 Jeffries.",NA,"Edward J Jeffries Fwy","R","Detroit","Wayne","MI","US","US/Eastern","KVLL",2019-04-11 08:35:00,36,27,77,29.33,10,"ENE",14,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"15","A-365041","MapQuest",201,2,2017-02-20 08:31:52,2017-02-20 09:02:34,0.01,"Accident on County Hwy-4 River Rd at County Hwy-35 Roberts Rd.",27200,"W Roberts Rd","R","Barrington","Lake","IL","US","US/Central","KPWK",2017-02-20 08:52:00,52,NA,80,30.14,4,"SSE",8.1,NA,"Haze",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"16","A-387482","MapQuest",201,2,2017-02-28 16:35:52,2017-02-28 17:05:37,0,"Accident on Central Expy Southbound at US-75.",NA,"US-75 S","R","Dallas","Dallas","TX","US","US/Central","KDAL",2017-02-28 16:53:00,81,NA,54,29.75,8,"SSW",10.4,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"17","A-3224477","Bing",NA,2,2018-12-19 11:06:18,2018-12-19 11:35:39,0.577,"At Woodrow Wilson Memorial Brg - Accident. Lane blocked.",NA,"Capital Beltway W","R","Oxon Hill","Prince George's","MD","US","US/Eastern","KDCA",2018-12-19 10:52:00,41,36.4,62,30.2,10,"South",6.9,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"18","A-1326904","MapQuest",201,3,2019-02-02 01:02:39,2019-02-02 01:32:23,0,"Slow lane blocked due to accident on I-405 Southbound at Exits 70 71B CA-118.",NA,"I-405 S","R","Mission Hills","Los Angeles","CA","US","US/Pacific","KWHP",2019-02-02 07:55:00,53.6,NA,82,29.85,1,"East",24.2,NA,"Heavy Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"19","A-1227009","MapQuest",201,3,2019-04-10 14:14:02,2019-04-10 15:43:38,0,"Middle lane blocked due to accident on I-405 Northbound before Exit 59 Sepulveda Blvd.",NA,"I-405 N","R","Los Angeles","Los Angeles","CA","US","US/Pacific","KSMO",2019-04-10 13:51:00,69,69,25,29.89,10,"WSW",14,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"20","A-1906059","MapQuest",201,2,2018-05-22 19:49:34,2018-05-22 20:34:19,0,"Accident on NE-31 at US-6.",14049,"S Highway 31","L","Gretna","Sarpy","NE","US","US/Central","KMLE",2018-05-22 19:55:00,81.9,NA,62,29.92,10,"SE",4.6,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"21","A-1202787","MapQuest",201,2,2019-05-01 18:08:47,2019-05-01 19:32:33,0,"Accident on Memorial Rd Westbound after May Ave.",NA,"N May Ave","R","Oklahoma City","Oklahoma","OK","US","US/Central","KPWA",2019-05-01 17:53:00,69,69,81,28.49,10,"S",18,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"22","A-2799194","Bing",NA,2,2020-06-26 05:57:46,2020-06-26 06:42:46,0,"At TN-46/Exit 172 - Accident.",NA,"I-40 W","R","Dickson","Dickson","TN","US","US/Central","KCKV",2020-06-26 05:56:00,68,68,100,29.49,10,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"23","A-3328916","Bing",NA,3,2018-04-10 18:24:14,2018-04-11 00:24:14,0.696,"At Walnut Hill Ln/Exit 6 - Accident. Right lane blocked.",NA,"US-75 S","R","Dallas","Dallas","TX","US","US/Central","KDAL",2018-04-10 18:53:00,70,NA,25,30.2,10,"ENE",4.6,NA,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"24","A-994952","MapQuest",201,2,2019-08-22 14:56:36,2019-08-22 16:27:02,0,"Accident on Cave Creek Rd at Jomax Rd.",4196,"Jomax Rd","R","Cave Creek","Maricopa","AZ","US","US/Mountain","KDVT",2019-08-22 14:53:00,102,102,20,28.14,10,"VAR",3,0,"Fair",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"25","A-3252270","Bing",NA,2,2018-10-05 15:42:40,2018-10-05 19:42:40,0.099,"At SE Sunnyside Rd/SE Harmony Rd - Accident.",11579,"SE 82nd Ave","R","Happy Valley","Clackamas","OR","US","US/Pacific","KTTD",2018-10-05 15:53:00,51.1,NA,89,29.95,2.5,"East",12.7,0.05,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"26","A-828119","MapQuest",201,2,2019-10-17 06:25:57,2019-10-17 08:05:08,0,"Accident on CA-55 Southbound before Chapman Ave.",NA,"CA-55 N","R","Orange","Orange","CA","US","US/Pacific","KFUL",2019-10-17 06:15:00,65,65,78,29.7,8,"CALM",0,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"27","A-1680003","MapQuest",201,2,2018-09-28 07:17:22,2018-09-28 07:47:10,0,"Accident on US-41 Cleveland Ave at College Pkwy.",NA,"College Pkwy","R","Fort Myers","Lee","FL","US","US/Eastern","KFMY",2018-09-28 06:53:00,73.9,NA,100,30.05,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Day","Day","Day"
"28","A-737286","MapQuest",201,2,2020-02-27 05:44:38,2020-02-27 06:44:23,0,"Accident on Dixon Rd at Oakridge Dr.",100,"Oakridge Dr","L","Anderson","Anderson","SC","US","US/Eastern","KAND",2020-02-27 05:56:00,36,26,59,29.17,10,"W",16,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"29","A-1557595","MapQuest",201,2,2018-10-02 07:21:58,2018-10-02 07:51:45,0,"Right hand shoulder blocked due to accident on Taconic State Pkwy Northbound near Exit 6 County Hwy-401 Pleasantville Rd.",NA,"Pleasantville Rd","R","Briarcliff Manor","Westchester","NY","US","US/Eastern","KHPN",2018-10-02 06:56:00,59,NA,100,30.21,0.2,"ESE",4.6,NA,"Fog",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"30","A-1691217","MapQuest",201,2,2018-08-03 18:52:24,2018-08-03 19:22:16,0,"Accident on Kemp Blvd at Grant St.",3608,"Grant St","R","Wichita Falls","Wichita","TX","US","US/Central","KCWC",2018-08-03 18:55:00,97.3,NA,24,29.94,10,"SE",19.6,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"31","A-890271","MapQuest",201,2,2019-11-15 16:44:49,2019-11-15 17:29:38,0,"Accident on Mcneil Dr at San Felipe Blvd.",7310,"McNeil Dr","R","Austin","Williamson","TX","US","US/Central","KATT",2019-11-15 16:51:00,60,60,38,29.57,10,"CALM",0,0,"Fair",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"32","A-1738872","MapQuest",201,2,2018-08-28 06:48:03,2018-08-28 07:47:41,0,"Accident on Plantation Rd at County Hwy-876 Daniels Pkwy.",6698,"Daniels Pkwy","R","Fort Myers","Lee","FL","US","US/Eastern","KRSW",2018-08-28 06:53:00,73.9,NA,93,30.06,10,"East",3.5,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Day","Day","Day"
"33","A-2269068","MapQuest",202,3,2017-11-23 05:27:31,2017-11-23 05:56:55,0,"X2 right lane blocked due to serious accident on I-95 Northbound at Exit 44 FL-798 Palmetto Park Rd.",NA,"I-95 N","R","Boca Raton","Palm Beach","FL","US","US/Eastern","KBCT",2017-11-23 06:52:00,75.2,NA,78,29.9,10,"South",4.6,NA,"Scattered Clouds",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"34","A-2731297","Bing",NA,2,2020-05-31 12:21:30,2020-05-31 12:53:36,0.012,"At Normandie Ave/W 190th St/Exit 38A - Accident.",NA,"I-405 S","R","Torrance","Los Angeles","CA","US","US/Pacific","KHHR",2020-05-31 11:53:00,68,68,63,29.88,10,"WSW",10,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"35","A-613599","MapQuest",206,2,2020-04-06 08:36:11,2020-04-06 09:22:00,0,"Fuel spillage on Virginia Ave at CO-30 Havana St. No recent updates.",10500,"E Virginia Ave","R","Aurora","Arapahoe","CO","US","US/Mountain","KBKF",2020-04-06 08:58:00,57,57,27,24.24,10,"SSW",14,0,"Fair",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"36","A-2935528","Bing",NA,1,2020-04-25 16:04:00,2020-04-25 18:04:00,0,"At Benson Road - Accident. One lane closed.",2319,"Benson Rd","R","Garner","Wake","NC","US","US/Eastern","KRDU",2020-04-25 15:51:00,58,58,81,29.54,10,"SE",6,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"37","A-1339047","MapQuest",201,2,2019-02-08 04:13:06,2019-02-08 04:42:16,0,"Accident on CR-15 Narcoossee Rd at Jones Rd.",NA,"Jones Rd","R","Saint Cloud","Osceola","FL","US","US/Eastern","KMCO",2019-02-08 03:53:00,60.1,NA,96,30.17,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Night","Night"
"38","A-69518","MapQuest",201,2,2016-11-04 20:35:19,2016-11-04 21:19:57,0.01,"Trans lane blocked due to accident on CA-163 Southbound at Exits 3A 3B I-8.",NA,"I-8 E","R","San Diego","San Diego","CA","US","US/Pacific","KMYF",2016-11-04 20:53:00,64.9,NA,68,30.06,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"39","A-2954315","Bing",NA,2,2020-01-10 17:59:33,2020-01-10 18:28:57,0.407,"At RT-17/Exit 64 - Accident. Lane blocked.",NA,"Bergen Passaic Expy E","R","Hackensack","Bergen","NJ","US","US/Eastern","KTEB",2020-01-10 17:51:00,54,54,75,30.43,10,"SSW",9,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"40","A-184130","MapQuest",201,3,2016-10-29 19:06:04,2016-10-29 19:33:07,0.01,"Left hand shoulder blocked due to accident on I-94 Westbound after Exit 202 US-24 Telegraph Rd.",NA,"I-94 E","R","Taylor","Wayne","MI","US","US/Eastern","KDTW",2016-10-29 18:53:00,69.1,NA,75,29.94,8,"West",9.2,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Day","Day"
"41","A-3274416","Bing",NA,2,2018-09-18 09:12:58,2018-09-18 09:42:54,3.187,"Between Lake Welch Dr/Exit 16 and Anthony Wayne Rec Area/Exit 17 - Accident. Right lane blocked.",NA,"Palisades Interstate Pkwy N","R","Stony Point","Rockland","NY","US","US/Eastern","KHPN",2018-09-18 08:56:00,73.9,NA,97,29.75,2,"South",5.8,0.03,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"42","A-2006912","MapQuest",201,3,2018-03-13 20:06:07,2018-03-13 20:50:50,0,"Left lane blocked due to accident on I-190 Southbound around Exit 9 Peace Brg.",NA,"Niagara Trwy N","R","Buffalo","Erie","NY","US","US/Eastern","KBUF",2018-03-13 20:12:00,30,21.1,82,29.81,9,"West",10.4,0,"Light Snow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"43","A-3329728","Bing",NA,4,2018-04-12 00:36:12,2018-04-12 06:36:12,0.5,"Closed at CR-M/Nash St - Road closed due to accident.",NA,"N2466 Greenville Dr","L","Hortonville","Outagamie","WI","US","US/Central","KATW",2018-04-12 00:35:00,35.6,28.6,81,29.76,10,"ESE",9.2,NA,"Light Drizzle",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"44","A-2147590","MapQuest",201,2,2018-01-23 06:50:22,2018-01-23 07:20:07,0,"Accident on Wabash Ave at Wacker Dr.",47,"E Wacker Dr","R","Chicago","Cook","IL","US","US/Central","KMDW",2018-01-23 06:53:00,32,21.2,92,29.67,1.2,"NW",16.1,0.01,"Light Snow",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Day","Day","Day"
"45","A-3503179","Bing",NA,2,2019-08-01 23:10:18,2019-08-01 23:38:53,0.117,"At Humboldt St/Meeker Ave/Exit 33 - Accident. Left lane blocked.",460,"Meeker Ave","R","Brooklyn","Kings","NY","US","US/Eastern","KNYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"46","A-253266","MapQuest",201,2,2016-08-18 04:05:29,2016-08-18 04:55:37,0,"Right merge lane blocked due to accident on MD-295 Baltimore Washington Pkwy Northbound at MD-32.",NA,"Baltimore Washington Pkwy N","R","Annapolis Junction","Anne Arundel","MD","US","US/Eastern","KFME",2016-08-18 04:03:00,NA,NA,NA,30.05,7,"Calm",NA,NA,"Scattered Clouds",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"47","A-2963260","Bing",NA,2,2020-01-16 08:54:00,2020-01-16 10:49:20,0,"At 18th St - Accident.",NA,"Grove Shafter Fwy E","R","Oakland","Alameda","CA","US","US/Pacific","KOAK",2020-01-16 08:53:00,52,52,71,29.7,10,"SE",28,0,"Cloudy / Windy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"48","A-1989787","MapQuest",201,3,2018-03-02 16:48:11,2018-03-02 17:17:58,0,"Lane blocked due to accident on I-40 Eastbound at Exit 210C 2nd Ave.",NA,"2nd Ave S","R","Nashville","Davidson","TN","US","US/Central","KBNA",2018-03-02 16:53:00,54,NA,33,30.35,10,"North",8.1,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"49","A-3206626","Bing",NA,2,2019-01-25 09:09:03,2019-01-25 09:38:57,0.352,"At Friday Rd/Exit 39 - Accident.",NA,"I-94 W","R","Coloma","Berrien","MI","US","US/Eastern","KBEH",2019-01-25 09:07:00,9,-11.4,73,30.16,0.5,"West",23,0,"Snow",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"50","A-56385","MapQuest",201,2,2016-12-14 19:11:59,2016-12-14 19:41:44,0.01,"Accident on Eastern Ave at Washington Blvd.",NA,"E Washington Blvd","R","Los Angeles","Los Angeles","CA","US","US/Pacific","KCQT",2016-12-14 18:47:00,57.9,NA,90,30.05,6,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Night","Night"
"51","A-2890799","Bing",NA,2,2020-04-03 15:57:27,2020-04-03 16:32:25,0,"Ramp to MD-295/Baltimore Washington Pky NB - Accident. Hard shoulder blocked.",NA,"Baltimore Washington Pkwy N","R","Hyattsville","Prince George's","MD","US","US/Eastern","KCGS",2020-04-03 16:06:00,64,64,26,29.72,10,"NW",13,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"52","A-3318724","Bing",NA,2,2018-05-11 18:40:40,2018-05-12 00:40:40,0.23,"At 44th St/Exit 7 - Accident.",NA,"I-405 N","R","Renton","King","WA","US","US/Pacific","KRNT",2018-05-11 18:53:00,66,NA,52,30.2,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"53","A-862294","MapQuest",201,2,2019-11-04 13:20:05,2019-11-04 14:34:55,0,"Accident on Ballantyne Commons Pkwy at John J Delaney Dr.",10098,"Ballantyne Commons Pkwy","L","Charlotte","Mecklenburg","NC","US","US/Eastern","KEQY",2019-11-04 12:53:00,59,59,41,29.52,10,"VAR",3,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"54","A-2743155","Bing",NA,1,2020-04-30 17:23:16,2020-04-30 17:58:14,0,"At Sheldon Rd - Accident. Hard shoulder blocked.",NA,"CA-99 N","R","Elk Grove","Sacramento","CA","US","US/Pacific","KSAC",2020-04-30 16:53:00,83,83,26,29.95,10,"SW",15,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"55","A-2147468","MapQuest",201,3,2018-01-23 06:51:21,2018-01-23 07:35:23,0,"Accident on I-80 Westbound at Exit 450 60th St.",NA,"I-80 W","R","Omaha","Douglas","NE","US","US/Central","KMLE",2018-01-23 06:55:00,25.7,14.6,84,30.11,10,"NW",12.7,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"56","A-309198","MapQuest",201,2,2016-11-01 09:18:50,2016-11-01 09:48:30,0.01,"Accident on Broadway at Olive Way.",200,"Broadway E","R","Seattle","King","WA","US","US/Pacific","KBFI",2016-11-01 08:53:00,51.1,NA,100,29.9,10,"NNW",3.5,0.03,"Overcast",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
